survey_year,indicator,category,label,value
1998,underweight,Region,Brong-Ahafo,19.5
1998,underweight,Region,"Northern, Upper West, Upper East",29.2
1998,underweight,Region,..Northern (pre 2022),33.8
1998,underweight,Region,..Upper West,26
1998,underweight,Region,..Upper East,26
2008,underweight,Sex,Male,15.4
2008,underweight,Sex,Female,12.4
2008,underweight,Age in months,<6,7.8
2008,underweight,Age in months,6-8,16
2008,underweight,Age in months,9-11,17.8
2008,underweight,Age in months,12-17,14.9
2008,underweight,Age in months,18-23,19
2008,underweight,Age in months,24-35,13.6
2008,underweight,Age in months,36-47,15.1
2008,underweight,Age in months,48-59,11.2
2008,underweight,Residence,Urban,10.6
2008,underweight,Residence,Rural,16
2008,underweight,Education,No education,17.2
2008,underweight,Education,Primary,13.5
2008,underweight,Education,Secondary,11.6
2008,underweight,Education,Higher,5.5
2008,underweight,Education (2 groups),No education or primary,15.6
2008,underweight,Education (2 groups),Secondary or higher,11.2
2008,underweight,Wealth quintile,Lowest,19.2
2008,underweight,Wealth quintile,Second,17.4
2008,underweight,Wealth quintile,Middle,12.5
2008,underweight,Wealth quintile,Fourth,8.4
2008,underweight,Wealth quintile,Highest,8.6
2008,underweight,Mother's interview status,Interviewed,13.7
2008,underweight,Mother's interview status,Not interviewed but in household,15.6
2008,underweight,Mother's interview status,Not interviewed and not in household,15.5
2008,underweight,Size at birth,Very small,32.9
2008,underweight,Size at birth,Small,21.6
2008,underweight,Size at birth,Average or larger,11.8
2008,underweight,Birth interval,First birth,14.3
2008,underweight,Birth interval,Less than 24 months,16.8
2008,underweight,Birth interval,24-47 months,13.9
2008,underweight,Birth interval,48+ months,11.7
2008,underweight,Mother's nutritional status,Thin (BMI < 18.5),21.7
2008,underweight,Mother's nutritional status,Normal (BMI 18.5-24.9),16.6
2008,underweight,Mother's nutritional status,Overweight/ obese (BMI >= 25.0),8.1
2008,underweight,Region,Western (pre 2022),10.3
2008,underweight,Region,Central,17.2
2008,underweight,Region,Greater Accra,6.5
2008,underweight,Region,Volta (pre 2022),13.6
2008,underweight,Region,Eastern,8.7
2008,underweight,Region,Ashanti,12.1
2008,underweight,Region,Brong-Ahafo,13.5
2008,underweight,Region,"Northern, Upper West, Upper East",21.8
2008,underweight,Region,..Northern (pre 2022),21.8
2008,underweight,Region,..Upper West,13.1
2008,underweight,Region,..Upper East,27
2014,underweight,Sex,Male,10.6
2014,underweight,Sex,Female,11.6
2014,underweight,Age in months,<6,4.2
2014,underweight,Age in months,6-8,13.1
2014,underweight,Age in months,9-11,12.5
2014,underweight,Age in months,12-17,11.3
2014,underweight,Age in months,18-23,14.6
2014,underweight,Age in months,24-35,13.8
2014,underweight,Age in months,36-47,11.2
2014,underweight,Age in months,48-59,8.9
2014,underweight,Residence,Urban,8.6
2014,underweight,Residence,Rural,13.1
2014,underweight,Education,No education,14.7
2014,underweight,Education,Primary,11.9
2014,underweight,Education,Secondary,8.8
2014,underweight,Education,Higher,0.5
2014,underweight,Education (2 groups),No education or primary,13.5
2014,underweight,Education (2 groups),Secondary or higher,8.2
2014,underweight,Wealth quintile,Lowest,15.6
2014,underweight,Wealth quintile,Second,13.3
2014,underweight,Wealth quintile,Middle,7.2
2014,underweight,Wealth quintile,Fourth,11.6
2014,underweight,Wealth quintile,Highest,6.3
2014,underweight,Mother's interview status,Interviewed,10.8
2014,underweight,Mother's interview status,Not interviewed but in household,8.6
2014,underweight,Mother's interview status,Not interviewed and not in household,14.3
2014,underweight,Size at birth,Very small,29.4
2014,underweight,Size at birth,Small,17.9
2014,underweight,Size at birth,Average or larger,9
2014,underweight,Birth interval,First birth,11.9
2014,underweight,Birth interval,Less than 24 months,17.5
2014,underweight,Birth interval,24-47 months,9.9
2014,underweight,Birth interval,48+ months,8.9
2014,underweight,Mother's nutritional status,Thin (BMI < 18.5),21.7
2014,underweight,Mother's nutritional status,Normal (BMI 18.5-24.9),14.7
2014,underweight,Mother's nutritional status,Overweight/ obese (BMI >= 25.0),4.8
2014,underweight,Region,Western (pre 2022),10.6
2014,underweight,Region,Central,13.9
2014,underweight,Region,Greater Accra,8.7
2014,underweight,Region,Volta (pre 2022),10.5
2014,underweight,Region,Eastern,7.9
2014,underweight,Region,Ashanti,9.4
2014,underweight,Region,Brong-Ahafo,5.9
2014,underweight,Region,"Northern, Upper West, Upper East",17.2
2014,underweight,Region,..Northern (pre 2022),20
2014,underweight,Region,..Upper West,13.5
2014,underweight,Region,..Upper East,10.8
2022,underweight,Sex,Male,14.1
2022,underweight,Sex,Female,10.4
2022,underweight,Age in months,<6,7.5
2022,underweight,Age in months,6-8,12.5
2022,underweight,Age in months,9-11,16.3
2022,underweight,Age in months,12-17,16.3
2022,underweight,Age in months,18-23,15.5
2022,underweight,Age in months,24-35,14
2022,underweight,Age in months,36-47,10.5
2022,underweight,Age in months,48-59,9.9
2022,underweight,Age in months,6-11,14.4
2022,underweight,Age in months,12-23,15.9
2022,underweight,Age in months,0-23,13.5
2022,underweight,Age in months,24-59,11.4
2022,underweight,Mother's age at birth,< 20,17.5
2022,underweight,Mother's age at birth,20-34,11.9
2022,underweight,Mother's age at birth,35-49,11.1
2022,underweight,Residence,Urban,11.2
2022,underweight,Residence,Rural,13.3
2022,underweight,Education,No education,16.1
2022,underweight,Education,Primary,13.5
2022,underweight,Education,Secondary,11
2022,underweight,Education,Higher,6.5
2022,underweight,Education (2 groups),No education or primary,15.1
2022,underweight,Education (2 groups),Secondary or higher,10.4
2022,underweight,Wealth quintile,Lowest,14.3
2022,underweight,Wealth quintile,Second,16.1
2022,underweight,Wealth quintile,Middle,11.8
2022,underweight,Wealth quintile,Fourth,11.8
2022,underweight,Wealth quintile,Highest,6.2
2022,underweight,Mother's interview status,Interviewed,12.2
2022,underweight,Mother's interview status,Not interviewed but in household,12.2
2022,underweight,Mother's interview status,Not interviewed and not in household,13.1
2022,underweight,Size at birth,Very small,31.5
2022,underweight,Size at birth,Small,28.6
2022,underweight,Size at birth,Average or larger,11.3
2022,underweight,Birth interval,First birth,13.1
2022,underweight,Birth interval,Less than 24 months,11.1
2022,underweight,Birth interval,24-47 months,13.5
2022,underweight,Birth interval,48+ months,10.4
2022,underweight,Mother's nutritional status,Thin (BMI < 18.5),22.4
2022,underweight,Mother's nutritional status,Normal (BMI 18.5-24.9),14.9
2022,underweight,Mother's nutritional status,Overweight/ obese (BMI >= 25.0),9.8
2022,underweight,Region,Western (pre 2022),9.3
2022,underweight,Region,..Western (post 2022),9.9
2022,underweight,Region,..Western North,7.5
2022,underweight,Region,Central,12
2022,underweight,Region,Greater Accra,8.5
2022,underweight,Region,Volta (pre 2022),14.2
2022,underweight,Region,..Volta (post 2022),13.1
2022,underweight,Region,..Oti,15.5
2022,underweight,Region,Eastern,11
2022,underweight,Region,Ashanti,10.9
2022,underweight,Region,Brong-Ahafo,10.4
2022,underweight,Region,..Ahafo,8
2022,underweight,Region,..Bono,11
2022,underweight,Region,..Bono East,11.1
2022,underweight,Region,"Northern, Upper West, Upper East",16.8
2022,underweight,Region,..Northern (pre 2022),19
2022,underweight,Region,....Northern(post 2022),19.9
2022,underweight,Region,....Savannah,14
2022,underweight,Region,....Northeast,20.4
2022,underweight,Region,..Upper West,11.4
2022,underweight,Region,..Upper East,12.7
